변환,기업대출,가계대출,신용카드대출
2020/09,0.4,0.2,1.4
2020/10,0.5,0.3,1.5
2020/11,0.5,0.3,1.5
2020/12,0.4,0.2,1.3
2021/01,0.4,0.2,1.5
2021/02,0.5,0.2,1.5
2021/03,0.4,0.2,1.3
2021/04,0.4,0.2,1.3
2021/05,0.5,0.2,1.4
2021/06,0.4,0.2,1.1
2021/07,0.4,0.2,1.2
2021/08,0.4,0.2,1.3
2021/09,0.3,0.2,1.1
2021/10,0.3,0.2,1.3
2021/11,0.4,0.2,1.3
2021/12,0.3,0.2,1.1
2022/01,0.3,0.2,1.2
2022/02,0.3,0.2,1.3
2022/03,0.3,0.2,1.2
2022/04,0.3,0.2,1.2
2022/05,0.3,0.2,1.2
2022/06,0.3,0.2,1.1
2022/07,0.3,0.2,1.2
2022/08,0.3,0.2,1.2
2022/09,0.3,0.2,1.1
2022/10,0.3,0.2,1.2
2022/11,0.3,0.3,1.3
2022/12,0.3,0.3,1.3
2023/01,0.4,0.3,1.4
2023/02,0.4,0.3,1.7
2023/03,0.4,0.3,1.5
2023/04,0.5,0.4,1.7
2023/05,0.5,0.4,1.7
2023/06,0.4,0.3,1.5
2023/07,0.5,0.4,1.6
2023/08,0.6,0.4,1.8
2023/09,0.5,0.4,1.6
2023/10,0.6,0.4,1.7
2023/11,0.6,0.4,1.8
2023/12,0.6,0.4,1.6
2024/01,0.6,0.4,1.7
2024/02,0.7,0.4,2.0
2024/03,0.6,0.4,1.8
2024/04,0.6,0.4,1.8
2024/05,0.7,0.4,1.9
2024/06,0.5,0.4,1.7
2024/07,0.7,0.4,1.8
2024/08,0.7,0.4,1.9
