,변환,통화량_변동율
289,2010/02,1.3
290,2010/03,0.8
291,2010/04,0.8
292,2010/05,0.6
293,2010/06,1.0
294,2010/07,0.3
295,2010/08,0.1
296,2010/09,0.3
297,2010/10,0.6
298,2010/11,0.6
299,2010/12,0.2
300,2011/01,-0.4
301,2011/02,-0.1
302,2011/03,0.2
303,2011/04,0.4
304,2011/05,0.3
305,2011/06,0.4
306,2011/07,0.5
307,2011/08,0.8
308,2011/09,0.6
309,2011/10,0.8
310,2011/11,0.6
311,2011/12,0.2
312,2012/01,0.0
313,2012/02,0.3
314,2012/03,0.6
315,2012/04,0.2
316,2012/05,0.4
317,2012/06,0.7
318,2012/07,0.6
319,2012/08,0.5
320,2012/09,0.1
321,2012/10,0.2
322,2012/11,0.4
323,2012/12,0.3
324,2013/01,0.3
325,2013/02,0.9
326,2013/03,0.3
327,2013/04,0.3
328,2013/05,0.1
329,2013/06,0.7
330,2013/07,0.3
331,2013/08,-0.1
332,2013/09,0.8
333,2013/10,0.3
334,2013/11,0.8
335,2013/12,0.5
336,2014/01,0.3
337,2014/02,0.9
338,2014/03,0.5
339,2014/04,0.3
340,2014/05,0.6
341,2014/06,0.9
342,2014/07,0.7
343,2014/08,0.9
344,2014/09,0.3
345,2014/10,0.7
346,2014/11,1.6
347,2014/12,0.3
348,2015/01,0.2
349,2015/02,0.8
350,2015/03,0.9
351,2015/04,1.0
352,2015/05,0.9
353,2015/06,0.6
354,2015/07,1.0
355,2015/08,0.8
356,2015/09,0.5
357,2015/10,0.1
358,2015/11,0.5
359,2015/12,0.1
360,2016/01,0.7
361,2016/02,1.1
362,2016/03,0.4
363,2016/04,0.2
364,2016/05,0.6
365,2016/06,0.9
366,2016/07,0.8
367,2016/08,1.1
368,2016/09,0.2
369,2016/10,0.3
370,2016/11,0.6
371,2016/12,0.3
372,2017/01,0.2
373,2017/02,0.1
374,2017/03,0.7
375,2017/04,0.5
376,2017/05,0.2
377,2017/06,0.7
378,2017/07,0.1
379,2017/08,0.5
380,2017/09,0.3
381,2017/10,0.5
382,2017/11,0.7
383,2017/12,0.2
384,2018/01,0.9
385,2018/02,0.8
386,2018/03,0.3
387,2018/04,0.5
388,2018/05,0.4
389,2018/06,0.8
390,2018/07,0.6
391,2018/08,0.5
392,2018/09,0.1
393,2018/10,0.8
394,2018/11,0.7
395,2018/12,0.3
396,2019/01,0.6
397,2019/02,0.5
398,2019/03,0.8
399,2019/04,0.4
400,2019/05,0.3
401,2019/06,1.0
402,2019/07,0.4
403,2019/08,0.7
404,2019/09,0.7
405,2019/10,0.7
406,2019/11,0.9
407,2019/12,0.4
408,2020/01,0.6
409,2020/02,0.9
410,2020/03,1.0
411,2020/04,1.1
412,2020/05,1.0
413,2020/06,1.0
414,2020/07,0.5
415,2020/08,0.2
416,2020/09,0.5
417,2020/10,1.2
418,2020/11,1.0
419,2020/12,0.4
420,2021/01,0.8
421,2021/02,1.5
422,2021/03,1.3
423,2021/04,1.4
424,2021/05,0.6
425,2021/06,1.0
426,2021/07,0.9
427,2021/08,1.2
428,2021/09,0.7
429,2021/10,0.8
430,2021/11,1.4
431,2021/12,0.7
432,2022/01,0.4
433,2022/02,0.6
434,2022/03,0.4
435,2022/04,0.1
436,2022/05,0.6
437,2022/06,0.6
438,2022/07,0.3
439,2022/08,0.5
440,2022/09,0.2
441,2022/10,0.3
442,2022/11,0.9
443,2022/12,-0.2
444,2023/01,-0.1
445,2023/02,0.3
446,2023/03,0.1
447,2023/04,-0.5
448,2023/05,-0.2
449,2023/06,0.4
450,2023/07,0.5
451,2023/08,0.2
452,2023/09,0.5
453,2023/10,0.2
454,2023/11,1.0
455,2023/12,0.5
456,2024/01,-0.2
457,2024/02,0.7
458,2024/03,1.6
459,2024/04,0.3
460,2024/05,-0.1
461,2024/06,0.6
462,2024/07,0.6
463,2024/08,0.1
