변환,경제성장률
1960/04,1.4986666666666668
1960/05,2.9973333333333336
1960/06,4.496
1960/07,-0.3706666666666667
1960/08,-0.7413333333333334
1960/09,-1.112
1960/10,0.19866666666666666
1960/11,0.3973333333333333
1960/12,0.596
1961/01,1.067
1961/02,2.134
1961/03,3.2009999999999996
1961/04,1.4386666666666665
1961/05,2.877333333333333
1961/06,4.316
1961/07,-0.6083333333333333
1961/08,-1.2166666666666666
1961/09,-1.8249999999999997
1961/10,0.4323333333333333
1961/11,0.8646666666666666
1961/12,1.297
1962/01,0.664
1962/02,1.328
1962/03,1.992
1962/04,-0.6226666666666667
1962/05,-1.2453333333333334
1962/06,-1.868
1962/07,0.9756666666666667
1962/08,1.9513333333333334
1962/09,2.927
1962/10,0.96
1962/11,1.92
1962/12,2.88
1963/01,1.953
1963/02,3.906
1963/03,5.859
1963/04,-0.7863333333333333
1963/05,-1.5726666666666667
1963/06,-2.359
1963/07,1.0983333333333334
1963/08,2.1966666666666668
1963/09,3.295
1963/10,0.031
1963/11,0.062
1963/12,0.093
1964/01,1.9903333333333333
1964/02,3.9806666666666666
1964/03,5.971
1964/04,-0.9583333333333334
1964/05,-1.9166666666666667
1964/06,-2.875
1964/07,2.268333333333333
1964/08,4.536666666666666
1964/09,6.805
1964/10,1.3399999999999999
1964/11,2.6799999999999997
1964/12,4.02
1965/01,0.4263333333333333
1965/02,0.8526666666666666
1965/03,1.279
1965/04,0.07533333333333334
1965/05,0.15066666666666667
1965/06,0.226
1965/07,-0.26366666666666666
1965/08,-0.5273333333333333
1965/09,-0.7909999999999999
1965/10,0.7773333333333333
1965/11,1.5546666666666666
1965/12,2.332
1966/01,2.0429999999999997
1966/02,4.085999999999999
1966/03,6.129
1966/04,2.0646666666666667
1966/05,4.129333333333333
1966/06,6.194
1966/07,-0.5763333333333334
1966/08,-1.1526666666666667
1966/09,-1.729
1966/10,0.44366666666666665
1966/11,0.8873333333333333
1966/12,1.331
1967/01,1.1233333333333333
1967/02,2.2466666666666666
1967/03,3.37
1967/04,0.6960000000000001
1967/05,1.3920000000000001
1967/06,2.088
1967/07,1.38
1967/08,2.76
1967/09,4.14
1967/10,0.22
1967/11,0.44
1967/12,0.66
1968/01,2.121
1968/02,4.242
1968/03,6.3629999999999995
1968/04,0.49066666666666664
1968/05,0.9813333333333333
1968/06,1.472
1968/07,1.7106666666666666
1968/08,3.421333333333333
1968/09,5.132
1968/10,-0.5690000000000001
1968/11,-1.1380000000000001
1968/12,-1.7070000000000003
1969/01,1.7036666666666667
1969/02,3.4073333333333333
1969/03,5.111
1969/04,1.1506666666666667
1969/05,2.3013333333333335
1969/06,3.452
1969/07,2.687
1969/08,5.374
1969/09,8.061
1969/10,0.6703333333333333
1969/11,1.3406666666666667
1969/12,2.011
1970/01,-0.5646666666666667
1970/02,-1.1293333333333333
1970/03,-1.694
1970/04,1.3403333333333334
1970/05,2.6806666666666668
1970/06,4.021
1970/07,0.20633333333333334
1970/08,0.4126666666666667
1970/09,0.619
1970/10,2.568
1970/11,5.136
1970/12,7.704000000000001
1971/01,0.18700000000000003
1971/02,0.37400000000000005
1971/03,0.561
1971/04,1.0856666666666668
1971/05,2.1713333333333336
1971/06,3.2570000000000006
1971/07,0.06433333333333334
1971/08,0.12866666666666668
1971/09,0.193
1971/10,0.25033333333333335
1971/11,0.5006666666666667
1971/12,0.7510000000000001
1972/01,0.47900000000000004
1972/02,0.9580000000000001
1972/03,1.437
1972/04,0.9853333333333333
1972/05,1.9706666666666666
1972/06,2.956
1972/07,0.5493333333333333
1972/08,1.0986666666666667
1972/09,1.6480000000000001
1972/10,1.417
1972/11,2.834
1972/12,4.251
1973/01,1.1023333333333334
1973/02,2.2046666666666668
1973/03,3.3070000000000004
1973/04,1.4006666666666667
1973/05,2.8013333333333335
1973/06,4.202
1973/07,1.6966666666666665
1973/08,3.393333333333333
1973/09,5.09
1973/10,0.48233333333333334
1973/11,0.9646666666666667
1973/12,1.447
1974/01,1.3916666666666666
1974/02,2.783333333333333
1974/03,4.175
1974/04,-0.08800000000000001
1974/05,-0.17600000000000002
1974/06,-0.264
1974/07,0.5203333333333333
1974/08,1.0406666666666666
1974/09,1.561
1974/10,-0.11366666666666668
1974/11,-0.22733333333333336
1974/12,-0.341
1975/01,0.4716666666666667
1975/02,0.9433333333333334
1975/03,1.415
1975/04,1.5693333333333335
1975/05,3.138666666666667
1975/06,4.708
1975/07,0.9526666666666667
1975/08,1.9053333333333333
1975/09,2.858
1975/10,1.0286666666666666
1975/11,2.0573333333333332
1975/12,3.086
1976/01,0.963
1976/02,1.926
1976/03,2.889
1976/04,1.6023333333333334
1976/05,3.2046666666666668
1976/06,4.807
1976/07,0.6466666666666666
1976/08,1.2933333333333332
1976/09,1.94
1976/10,0.375
1976/11,0.75
1976/12,1.125
1977/01,0.3336666666666666
1977/02,0.6673333333333332
1977/03,1.001
1977/04,1.691
1977/05,3.382
1977/06,5.073
1977/07,2.003
1977/08,4.006
1977/09,6.009
1977/10,1.256
1977/11,2.512
1977/12,3.768
1978/01,-0.26966666666666667
1978/02,-0.5393333333333333
1978/03,-0.8089999999999999
1978/04,1.0273333333333332
1978/05,2.0546666666666664
1978/06,3.082
1978/07,0.6196666666666667
1978/08,1.2393333333333334
1978/09,1.859
1978/10,1.599
1978/11,3.198
1978/12,4.797
1979/01,1.4953333333333332
1979/02,2.9906666666666664
1979/03,4.486
1979/04,0.252
1979/05,0.504
1979/06,0.756
1979/07,-0.9226666666666666
1979/08,-1.8453333333333333
1979/09,-2.768
