,변환,소비자물가지수(CPI)_변동률
285,1988/10,-0.3
286,1988/11,0.8
287,1988/12,0.9
288,1989/01,0.2
289,1989/02,0.3
290,1989/03,0.7
291,1989/04,0.4
292,1989/05,1.3
293,1989/06,0.2
294,1989/07,-0.1
295,1989/08,0.8
296,1989/09,0.9
297,1989/10,0.2
298,1989/11,0.2
299,1989/12,-0.1
300,1990/01,2.3
301,1990/02,0.6
302,1990/03,1.0
303,1990/04,1.1
304,1990/05,1.1
305,1990/06,0.5
306,1990/07,0.3
307,1990/08,0.4
308,1990/09,0.6
309,1990/10,0.3
310,1990/11,0.1
311,1990/12,0.6
312,1991/01,2.1
313,1991/02,1.3
314,1991/03,1.2
315,1991/04,0.5
316,1991/05,0.3
317,1991/06,0.6
318,1991/07,0.6
319,1991/08,0.8
320,1991/09,0.5
321,1991/10,0.2
322,1991/11,0.4
323,1991/12,0.2
324,1992/01,0.7
325,1992/02,0.6
326,1992/03,1.1
327,1992/04,0.6
328,1992/05,0.6
329,1992/06,0.2
330,1992/07,0.4
331,1992/08,0.2
332,1992/09,0.3
333,1992/10,-0.1
334,1992/11,-0.5
335,1992/12,0.3
336,1993/01,0.8
337,1993/02,0.7
338,1993/03,1.3
339,1993/04,0.6
340,1993/05,0.3
341,1993/06,0.5
342,1993/07,-0.1
343,1993/08,0.3
344,1993/09,0.5
345,1993/10,0.4
346,1993/11,-0.2
347,1993/12,0.6
348,1994/01,1.3
349,1994/02,1.1
350,1994/03,0.9
351,1994/04,0.2
352,1994/05,0.1
353,1994/06,0.7
354,1994/07,0.9
355,1994/08,0.8
356,1994/09,-0.3
357,1994/10,-0.3
358,1994/11,0.2
359,1994/12,0.1
360,1995/01,0.9
361,1995/02,0.4
362,1995/03,1.0
363,1995/04,0.6
364,1995/05,0.2
365,1995/06,-0.3
366,1995/07,0.3
367,1995/08,0.6
368,1995/09,0.9
369,1995/10,-0.5
370,1995/11,-0.2
371,1995/12,0.7
372,1996/01,1.0
373,1996/02,0.4
374,1996/03,0.7
375,1996/04,0.7
376,1996/05,0.6
377,1996/06,0.0
378,1996/07,0.5
379,1996/08,0.5
380,1996/09,0.2
381,1996/10,0.0
382,1996/11,0.0
383,1996/12,0.4
384,1997/01,0.8
385,1997/02,0.6
386,1997/03,0.4
387,1997/04,0.5
388,1997/05,0.1
389,1997/06,0.2
390,1997/07,0.2
391,1997/08,0.7
392,1997/09,0.5
393,1997/10,0.0
394,1997/11,0.1
395,1997/12,2.5
396,1998/01,2.4
397,1998/02,1.7
398,1998/03,-0.2
399,1998/04,0.3
400,1998/05,-0.5
401,1998/06,-0.4
402,1998/07,0.0
403,1998/08,0.3
404,1998/09,0.4
405,1998/10,0.3
406,1998/11,-0.3
407,1998/12,-0.2
408,1999/01,-0.1
409,1999/02,0.4
410,1999/03,0.2
411,1999/04,0.3
412,1999/05,-0.2
413,1999/06,-0.6
414,1999/07,-0.3
415,1999/08,1.0
416,1999/09,0.3
417,1999/10,0.8
418,1999/11,-0.2
419,1999/12,-0.2
420,2000/01,0.4
421,2000/02,0.3
422,2000/03,0.5
423,2000/04,-0.4
424,2000/05,-0.5
425,2000/06,0.5
426,2000/07,0.4
427,2000/08,0.5
428,2000/09,1.3
429,2000/10,-0.1
430,2000/11,-0.6
431,2000/12,0.4
432,2001/01,1.1
433,2001/02,0.5
434,2001/03,0.9
435,2001/04,0.4
436,2001/05,-0.1
437,2001/06,0.3
438,2001/07,0.2
439,2001/08,0.4
440,2001/09,-0.1
441,2001/10,0.0
442,2001/11,-0.6
443,2001/12,0.2
444,2002/01,0.6
445,2002/02,0.5
446,2002/03,0.6
447,2002/04,0.6
448,2002/05,0.4
449,2002/06,-0.1
450,2002/07,-0.3
451,2002/08,0.7
452,2002/09,0.6
453,2002/10,-0.3
454,2002/11,0.1
455,2002/12,0.5
456,2003/01,0.6
457,2003/02,0.5
458,2003/03,1.2
459,2003/04,-0.2
460,2003/05,-0.2
461,2003/06,-0.3
462,2003/07,-0.1
463,2003/08,0.5
464,2003/09,0.9
465,2003/10,0.1
466,2003/11,-0.2
467,2003/12,0.5
