변환,원유_변동률
1990/02,-4.2
1990/03,-6.533333333333334
1990/04,-9.066666666666666
1990/05,0.2666666666666666
1990/06,-8.5
1990/07,13.066666666666668
1990/08,54.633333333333326
1990/09,24.400000000000002
1990/10,5.466666666666666
1990/11,-10.166666666666666
1990/12,-16.3
1991/01,-12.533333333333333
1991/02,-20.933333333333334
1991/03,0.3
1991/04,2.033333333333333
1991/05,1.7666666666666668
1991/06,-4.633333333333333
1991/07,6.1000000000000005
1991/08,1.7666666666666666
1991/09,3.9666666666666663
1991/10,6.833333333333333
1991/11,-3.8000000000000003
1991/12,-14.4
1992/01,-1.4666666666666668
1992/02,1.4666666666666666
1992/03,-1.0
1992/04,6.766666666666667
1992/05,4.833333333333333
1992/06,6.966666666666666
1992/07,-3.233333333333333
1992/08,-2.733333333333333
1992/09,2.733333333333333
1992/10,-0.6666666666666666
1992/11,-5.766666666666667
1992/12,-4.866666666666667
1993/01,-3.866666666666667
1993/02,5.133333333333334
1993/03,1.6666666666666667
1993/04,-0.033333333333333326
1993/05,-1.3666666666666665
1993/06,-4.166666666666667
1993/07,-6.766666666666667
1993/08,1.3333333333333333
1993/09,-3.4333333333333336
1993/10,3.733333333333334
1993/11,-7.666666666666667
1993/12,-11.833333333333334
1994/01,5.2
1994/02,-2.533333333333333
1994/03,-2.033333333333333
1994/04,11.666666666666666
1994/05,8.5
1994/06,5.633333333333333
1994/07,4.533333333333334
1994/08,-5.3
1994/09,-4.833333333333333
1994/10,1.7666666666666668
1994/11,3.733333333333333
1994/12,-5.233333333333333
1995/01,3.9666666666666663
1995/02,3.4
1995/03,-0.5
1995/04,7.3999999999999995
1995/05,-0.5333333333333333
1995/06,-6.633333333333333
1995/07,-6.733333333333333
1995/08,2.5
1995/09,1.5
1995/10,-3.8333333333333335
1995/11,4.466666666666667
1995/12,7.666666666666667
1996/01,-1.3
1996/02,-1.6333333333333335
1996/03,9.633333333333333
1996/04,7.133333333333333
1996/05,-7.566666666666667
1996/06,-1.8
1996/07,4.266666666666667
1996/08,4.166666666666667
1996/09,10.0
1996/10,5.333333333333333
1996/11,-4.233333333333333
1996/12,4.8999999999999995
1997/01,-1.2666666666666666
1997/02,-11.666666666666666
1997/03,-5.3
1997/04,-7.633333333333333
1997/05,8.1
1997/06,-7.366666666666667
1997/07,2.3000000000000003
1997/08,1.7666666666666666
1997/09,-0.20000000000000004
1997/10,7.3
1997/11,-4.2
1997/12,-10.1
1998/01,-11.9
1998/02,-6.8999999999999995
1998/03,-6.766666666666667
1998/04,3.466666666666667
1998/05,2.266666666666666
1998/06,-8.233333333333333
1998/07,0.06666666666666703
1998/08,-2.266666666666667
1998/09,10.366666666666665
1998/10,-3.7000000000000006
1998/11,-10.233333333333333
1998/12,-12.333333333333334
1999/01,8.966666666666667
1999/02,-5.533333333333334
1999/03,22.8
1999/04,19.599999999999998
1999/05,2.1333333333333333
1999/06,1.8333333333333333
1999/07,14.833333333333334
1999/08,7.666666666666667
1999/09,12.666666666666666
1999/10,-4.1000000000000005
1999/11,10.366666666666667
1999/12,3.1333333333333333
2000/01,1.0666666666666667
2000/02,7.7
2000/03,0.4666666666666666
2000/04,-13.5
2000/05,15.5
2000/06,8.666666666666666
2000/07,-4.933333333333334
2000/08,5.833333333333333
2000/09,8.266666666666667
2000/10,-2.3000000000000003
2000/11,2.966666666666667
2000/12,-22.566666666666666
2001/01,2.433333333333333
2001/02,6.1000000000000005
2001/03,-7.733333333333334
2001/04,2.533333333333333
2001/05,6.1000000000000005
2001/06,-1.2666666666666666
2001/07,-8.0
2001/08,3.966666666666667
2001/09,-1.833333333333333
2001/10,-17.233333333333334
2001/11,-11.033333333333333
2001/12,-0.5666666666666667
2002/01,3.866666666666667
2002/02,4.333333333333333
2002/03,18.2
2002/04,7.066666666666667
2002/05,0.8333333333333334
2002/06,-4.433333333333333
2002/07,4.8
2002/08,3.766666666666667
2002/09,5.966666666666666
2002/10,-3.1
2002/11,-10.233333333333334
2002/12,13.466666666666669
2003/01,9.1
2003/02,7.8
2003/03,-8.0
2003/04,-15.333333333333334
2003/05,1.8
2003/06,7.233333333333333
2003/07,2.533333333333333
2003/08,3.766666666666667
2003/09,-9.366666666666667
2003/10,7.8
2003/11,0.26666666666666666
2003/12,2.9333333333333336
2004/01,4.733333333333333
2004/02,0.09999999999999998
2004/03,6.8
2004/04,1.0666666666666667
2004/05,10.766666666666666
2004/06,-4.866666666666667
2004/07,6.433333333333334
2004/08,10.333333333333334
2004/09,-0.7333333333333333
2004/10,12.300000000000002
2004/11,-9.933333333333332
2004/12,-7.033333333333334
2005/01,10.433333333333332
2005/02,3.033333333333333
2005/03,15.1
2005/04,-0.2999999999999999
2005/05,-5.5
2005/06,12.5
2005/07,4.366666666666666
2005/08,9.666666666666666
2005/09,0.06666666666666665
2005/10,-5.933333333333334
2005/11,-5.5
2005/12,2.8333333333333335
2006/01,10.166666666666668
2006/02,-3.8333333333333335
2006/03,2.433333333333333
2006/04,11.100000000000001
2006/05,1.0999999999999999
2006/06,-0.6666666666666666
2006/07,5.866666666666667
2006/08,-0.9666666666666668
2006/09,-13.466666666666667
2006/10,-6.566666666666666
2006/11,0.8000000000000002
2006/12,4.166666666666667
2007/01,-11.799999999999999
2007/02,7.466666666666666
2007/03,5.133333333333333
2007/04,7.433333333333333
2007/05,0.10000000000000002
2007/06,4.433333333333334
2007/07,7.8
2007/08,-4.166666666666667
2007/09,8.933333333333334
2007/10,7.166666666666667
2007/11,11.200000000000001
2007/12,-1.5666666666666667
