변환,원유_변동률
2010/08,1.6000000000000003
2010/09,0.4333333333333333
2010/10,7.266666666666667
2010/11,3.1666666666666665
2010/12,6.766666666666667
2011/01,3.1666666666666665
2011/02,4.966666666666667
2011/03,11.233333333333334
2011/04,7.166666666666667
2011/05,-7.133333333333333
2011/06,-2.0333333333333337
2011/07,2.2666666666666666
2011/08,-7.533333333333334
2011/09,0.16666666666666666
2011/10,-0.5
2011/11,5.3999999999999995
2011/12,-1.0999999999999999
2012/01,2.7999999999999994
2012/02,5.533333333333334
2012/03,4.499999999999999
2012/04,-3.4333333333333336
2012/05,-8.299999999999999
2012/06,-12.866666666666667
2012/07,6.633333333333333
2012/08,8.866666666666667
2012/09,0.7333333333333333
2012/10,-3.066666666666667
2012/11,-2.0333333333333337
2012/12,0.26666666666666666
2013/01,3.9
2013/02,2.266666666666667
2013/03,-4.333333333333333
2013/04,-3.733333333333333
2013/05,0.6333333333333333
2013/06,0.4666666666666666
2013/07,5.566666666666666
2013/08,2.6666666666666665
2013/09,0.5666666666666668
2013/10,-2.9
2013/11,-2.9333333333333336
2013/12,2.9333333333333336
2014/01,-3.233333333333333
2014/02,2.766666666666667
2014/03,-0.6333333333333333
2014/04,0.7333333333333334
2014/05,0.7333333333333333
2014/06,2.6333333333333333
2014/07,-2.8333333333333335
2014/08,-5.066666666666666
2014/09,-4.233333333333333
2014/10,-10.133333333333333
2014/11,-10.566666666666668
2014/12,-21.3
2015/01,-21.36666666666667
2015/02,15.4
2015/03,-4.0
2015/04,9.1
2015/05,8.766666666666666
2015/06,-1.8
2015/07,-11.0
2015/08,-15.633333333333333
2015/09,0.4666666666666666
2015/10,1.6666666666666667
2015/11,-8.366666666666667
2015/12,-14.899999999999999
2016/01,-17.133333333333336
2016/02,2.9666666666666663
2016/03,20.73333333333333
2016/04,9.366666666666667
2016/05,12.4
2016/06,4.366666666666667
2016/07,-7.666666666666667
2016/08,1.4333333333333336
2016/09,0.3333333333333333
2016/10,10.133333333333333
2016/11,-9.066666666666666
2016/12,16.7
2017/01,1.6666666666666667
2017/02,1.2666666666666666
2017/03,-6.599999999999999
2017/04,3.0666666666666664
2017/05,-4.833333333333333
2017/06,-7.2
2017/07,3.1999999999999997
2017/08,4.6000000000000005
2017/09,5.933333333333334
2017/10,3.5666666666666664
2017/11,9.266666666666667
2017/12,1.7666666666666668
2018/01,8.299999999999999
2018/02,-3.933333333333333
2018/03,1.6333333333333335
2018/04,6.8
2018/05,6.766666666666667
2018/06,-1.8
2018/07,1.0666666666666667
2018/08,-2.1333333333333333
2018/09,5.5
2018/10,1.7333333333333334
2018/11,-18.833333333333332
2018/12,-13.1
2019/01,4.8
2019/02,7.966666666666666
2019/03,4.5
2019/04,7.533333333333334
2019/05,-3.2000000000000006
2019/06,-10.5
2019/07,3.3333333333333335
2019/08,-6.2
2019/09,4.133333333333334
2019/10,-4.3
2019/11,4.7
2019/12,5.033333333333332
2020/01,-2.6
2020/02,-13.166666666666666
2020/03,-39.699999999999996
2020/04,-28.26666666666667
2020/05,38.233333333333334
2020/06,27.333333333333332
2020/07,6.133333333333333
2020/08,3.8333333333333335
2020/09,-6.433333333333334
2020/10,-0.9
2020/11,5.8
2020/12,14.1
2021/01,9.966666666666667
2021/02,13.066666666666665
2021/03,5.166666666666667
2021/04,-1.1333333333333333
2021/05,5.166666666666667
2021/06,8.166666666666666
2021/07,1.3666666666666665
2021/08,-5.433333333333333
2021/09,5.733333333333334
2021/10,12.6
2021/11,-3.266666666666666
2021/12,-8.1
2022/01,15.066666666666668
2022/02,9.933333333333332
2022/03,18.366666666666664
2022/04,-5.333333333333333
2022/05,6.066666666666666
2022/06,4.3999999999999995
2022/07,-10.666666666666666
2022/08,-6.633333333333333
2022/09,-7.766666666666667
2022/10,2.8000000000000003
2022/11,-4.633333333333334
2022/12,-9.466666666666667
2023/01,3.5666666666666664
2023/02,-0.5333333333333333
2023/03,-4.566666666666666
2023/04,6.633333333333333
2023/05,-9.666666666666668
2023/06,-1.0
2023/07,7.5
2023/08,6.833333333333333
2023/09,8.933333333333334
2023/10,-4.333333333333333
2023/11,-7.900000000000001
2023/12,-6.333333333333333
2024/01,2.4333333333333336
2024/02,4.0
2024/03,4.566666666666667
2024/04,4.8
2024/05,-6.6000000000000005
2024/06,-0.3333333333333333
2024/07,1.7666666666666668
2024/08,-6.133333333333333
2024/09,-7.833333333333333
2024/10,2.8333333333333335
