,변환,환율 변동율
253,1985/06,0.5
254,1985/07,0.2
255,1985/08,1.0
256,1985/09,1.0
257,1985/10,0.1
258,1985/11,-0.1
259,1985/12,0.0
260,1986/01,0.0
261,1986/02,-0.5
262,1986/03,-0.2
263,1986/04,0.1
264,1986/05,0.2
265,1986/06,0.1
266,1986/07,-0.4
267,1986/08,-0.3
268,1986/09,-0.4
269,1986/10,-0.5
270,1986/11,-0.6
271,1986/12,-0.6
272,1987/01,-0.7
273,1987/02,-0.3
274,1987/03,-0.5
275,1987/04,-1.3
276,1987/05,-1.5
277,1987/06,-1.7
278,1987/07,-0.8
279,1987/08,0.0
280,1987/09,-0.2
281,1987/10,-0.2
282,1987/11,-0.7
283,1987/12,-0.5
284,1988/01,-0.9
285,1988/02,-1.8
286,1988/03,-2.6
287,1988/04,-1.6
288,1988/05,-0.8
289,1988/06,-0.8
290,1988/07,-0.5
291,1988/08,-0.4
292,1988/09,-0.4
293,1988/10,-1.5
294,1988/11,-2.3
295,1988/12,-1.2
296,1989/01,-0.4
297,1989/02,-0.8
298,1989/03,-0.6
299,1989/04,-0.8
300,1989/05,-0.1
301,1989/06,0.0
302,1989/07,0.1
303,1989/08,0.2
304,1989/09,0.2
305,1989/10,0.2
306,1989/11,0.2
307,1989/12,0.4
308,1990/01,1.2
309,1990/02,0.9
310,1990/03,1.1
311,1990/04,1.2
312,1990/05,0.5
313,1990/06,0.9
314,1990/07,0.1
315,1990/08,-0.1
316,1990/09,-0.1
317,1990/10,0.0
318,1990/11,-0.1
319,1990/12,0.2
320,1991/01,0.3
321,1991/02,0.5
322,1991/03,0.5
323,1991/04,0.1
324,1991/05,0.0
325,1991/06,0.0
326,1991/07,0.5
327,1991/08,0.3
328,1991/09,1.2
329,1991/10,1.2
330,1991/11,0.5
331,1991/12,0.6
332,1992/01,0.7
333,1992/02,0.4
334,1992/03,0.7
335,1992/04,0.9
336,1992/05,0.6
337,1992/06,0.8
338,1992/07,-0.2
339,1992/08,0.3
340,1992/09,-0.5
341,1992/10,-0.2
342,1992/11,0.0
343,1992/12,0.6
344,1993/01,0.4
345,1993/02,0.6
346,1993/03,-0.4
347,1993/04,0.3
348,1993/05,0.5
349,1993/06,0.3
350,1993/07,0.4
351,1993/08,0.3
352,1993/09,0.0
353,1993/10,0.2
354,1993/11,-0.4
355,1993/12,0.3
356,1994/01,0.1
357,1994/02,-0.2
358,1994/03,-0.2
359,1994/04,0.1
360,1994/05,-0.2
361,1994/06,0.0
362,1994/07,-0.2
363,1994/08,-0.2
364,1994/09,-0.3
365,1994/10,-0.2
366,1994/11,-0.3
367,1994/12,-0.6
368,1995/01,-0.2
369,1995/02,0.0
370,1995/03,-1.5
371,1995/04,-1.4
372,1995/05,-0.8
373,1995/06,0.0
374,1995/07,-0.5
375,1995/08,1.4
376,1995/09,0.6
377,1995/10,-0.6
378,1995/11,0.3
379,1995/12,0.2
380,1996/01,2.1
381,1996/02,-0.9
382,1996/03,0.1
383,1996/04,-0.1
