변환,GDP_변동률
2000/04,0.26666666666666666
2000/05,0.26666666666666666
2000/06,0.26666666666666666
2000/07,1.0666666666666667
2000/08,1.0666666666666667
2000/09,1.0666666666666667
2000/10,0.3333333333333333
2000/11,0.3333333333333333
2000/12,0.3333333333333333
2001/01,1.0
2001/02,1.0
2001/03,1.0
2001/04,0.7999999999999999
2001/05,0.7999999999999999
2001/06,0.7999999999999999
2001/07,0.5666666666666667
2001/08,0.5666666666666667
2001/09,0.5666666666666667
2001/10,0.0
2001/11,0.0
2001/12,0.0
2002/01,2.0
2002/02,2.0
2002/03,2.0
2002/04,0.9
2002/05,0.9
2002/06,0.9
2002/07,0.3333333333333333
2002/08,0.3333333333333333
2002/09,0.3333333333333333
2002/10,0.8666666666666667
2002/11,0.8666666666666667
2002/12,0.8666666666666667
2003/01,0.3666666666666667
2003/02,0.3666666666666667
2003/03,0.3666666666666667
2003/04,0.3
2003/05,0.3
2003/06,0.3
2003/07,0.43333333333333335
2003/08,0.43333333333333335
2003/09,0.43333333333333335
2003/10,1.3333333333333333
2003/11,1.3333333333333333
2003/12,1.3333333333333333
2004/01,0.7666666666666666
2004/02,0.7666666666666666
2004/03,0.7666666666666666
2004/04,0.6
2004/05,0.6
2004/06,0.6
2004/07,0.39999999999999997
2004/08,0.39999999999999997
2004/09,0.39999999999999997
2004/10,0.43333333333333335
2004/11,0.43333333333333335
2004/12,0.43333333333333335
2005/01,0.26666666666666666
2005/02,0.26666666666666666
2005/03,0.26666666666666666
2005/04,0.5
2005/05,0.5
2005/06,0.5
2005/07,0.7000000000000001
2005/08,0.7000000000000001
2005/09,0.7000000000000001
2005/10,0.5666666666666667
2005/11,0.5666666666666667
2005/12,0.5666666666666667
2006/01,0.09999999999999999
2006/02,0.09999999999999999
2006/03,0.09999999999999999
2006/04,0.19999999999999998
2006/05,0.19999999999999998
2006/06,0.19999999999999998
2006/07,0.7999999999999999
2006/08,0.7999999999999999
2006/09,0.7999999999999999
2006/10,0.43333333333333335
2006/11,0.43333333333333335
2006/12,0.43333333333333335
2007/01,0.7999999999999999
2007/02,0.7999999999999999
2007/03,0.7999999999999999
2007/04,0.7999999999999999
2007/05,0.7999999999999999
2007/06,0.7999999999999999
2007/07,0.5666666666666667
2007/08,0.5666666666666667
2007/09,0.5666666666666667
2007/10,1.0333333333333334
2007/11,1.0333333333333334
2007/12,1.0333333333333334
2008/01,0.06666666666666667
2008/02,0.06666666666666667
2008/03,0.06666666666666667
2008/04,0.8333333333333334
2008/05,0.8333333333333334
2008/06,0.8333333333333334
2008/07,0.39999999999999997
2008/08,0.39999999999999997
2008/09,0.39999999999999997
2008/10,-0.6666666666666666
2008/11,-0.6666666666666666
2008/12,-0.6666666666666666
2009/01,0.2333333333333333
2009/02,0.2333333333333333
2009/03,0.2333333333333333
2009/04,0.9666666666666667
2009/05,0.9666666666666667
2009/06,0.9666666666666667
2009/07,1.0
2009/08,1.0
2009/09,1.0
2009/10,0.2333333333333333
2009/11,0.2333333333333333
2009/12,0.2333333333333333
2010/01,1.2333333333333334
2010/02,1.2333333333333334
2010/03,1.2333333333333334
2010/04,0.9333333333333332
2010/05,0.9333333333333332
2010/06,0.9333333333333332
2010/07,0.3666666666666667
2010/08,0.3666666666666667
2010/09,0.3666666666666667
2010/10,0.6333333333333333
2010/11,0.6333333333333333
2010/12,0.6333333333333333
2011/01,0.16666666666666666
2011/02,0.16666666666666666
2011/03,0.16666666666666666
2011/04,0.2333333333333333
2011/05,0.2333333333333333
2011/06,0.2333333333333333
2011/07,0.43333333333333335
2011/08,0.43333333333333335
2011/09,0.43333333333333335
2011/10,0.7000000000000001
2011/11,0.7000000000000001
2011/12,0.7000000000000001
2012/01,0.2333333333333333
2012/02,0.2333333333333333
2012/03,0.2333333333333333
2012/04,0.06666666666666667
2012/05,0.06666666666666667
2012/06,0.06666666666666667
2012/07,0.16666666666666666
2012/08,0.16666666666666666
2012/09,0.16666666666666666
2012/10,0.3666666666666667
2012/11,0.3666666666666667
2012/12,0.3666666666666667
2013/01,0.43333333333333335
2013/02,0.43333333333333335
2013/03,0.43333333333333335
2013/04,0.4666666666666666
2013/05,0.4666666666666666
2013/06,0.4666666666666666
2013/07,0.43333333333333335
2013/08,0.43333333333333335
2013/09,0.43333333333333335
2013/10,0.3
2013/11,0.3
2013/12,0.3
2014/01,0.5
2014/02,0.5
2014/03,0.5
2014/04,0.19999999999999998
2014/05,0.19999999999999998
2014/06,0.19999999999999998
2014/07,0.16666666666666666
2014/08,0.16666666666666666
2014/09,0.16666666666666666
2014/10,0.43333333333333335
2014/11,0.43333333333333335
2014/12,0.43333333333333335
2015/01,1.0666666666666667
2015/02,1.0666666666666667
2015/03,1.0666666666666667
2015/04,0.3
2015/05,0.3
2015/06,0.3
2015/07,0.43333333333333335
2015/08,0.43333333333333335
2015/09,0.43333333333333335
2015/10,0.2333333333333333
2015/11,0.2333333333333333
2015/12,0.2333333333333333
2016/01,0.7666666666666666
2016/02,0.7666666666666666
2016/03,0.7666666666666666
2016/04,0.5
2016/05,0.5
2016/06,0.5
2016/07,0.0
2016/08,0.0
2016/09,0.0
2016/10,0.5
2016/11,0.5
2016/12,0.5
2017/01,0.7000000000000001
2017/02,0.7000000000000001
2017/03,0.7000000000000001
2017/04,0.26666666666666666
2017/05,0.26666666666666666
2017/06,0.26666666666666666
2017/07,1.0
2017/08,1.0
2017/09,1.0
2017/10,-0.3
2017/11,-0.3
2017/12,-0.3
2018/01,0.5
2018/02,0.5
2018/03,0.5
2018/04,0.3
