변환,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감
"2019/02","0.7","0.0","0.6","0.1","1.0","0.1","0.3","0.0","0.3","0.0","0.3","0.1","2.0","0.3","2.6","0.3","1.7","0.3"
"2019/03","0.7","0.0","0.5","-0.1","0.9","-0.1","0.3","0.0","0.3","0.0","0.2","-0.1","1.8","-0.2","2.4","-0.2","1.5","-0.2"
"2019/04","0.7","0.0","0.5","0.0","1.0","0.1","0.3","0.0","0.3","0.0","0.3","0.1","1.8","0.0","2.4","0.0","1.5","0.0"
"2019/05","0.7","0.0","0.6","0.1","1.0","0.0","0.3","0.0","0.4","0.1","0.3","0.0","1.9","0.1","2.5","0.1","1.6","0.1"
"2019/06","0.6","-0.1","0.5","-0.1","0.8","-0.2","0.3","0.0","0.3","-0.1","0.2","-0.1","1.7","-0.2","2.2","-0.3","1.5","-0.1"
"2019/07","0.7","0.1","0.5","0.0","0.9","0.1","0.3","0.0","0.3","0.0","0.2","0.0","1.8","0.1","2.3","0.1","1.5","0.0"
"2019/08","0.7","0.0","0.6","0.1","1.0","0.1","0.3","0.0","0.4","0.1","0.3","0.1","2.0","0.2","2.6","0.3","1.7","0.2"
"2019/09","0.6","-0.1","0.5","-0.1","0.9","-0.1","0.3","0.0","0.3","-0.1","0.2","-0.1","1.7","-0.3","2.4","-0.2","1.4","-0.3"
"2019/10","0.7","0.1","0.5","0.0","1.0","0.1","0.3","0.0","0.3","0.0","0.2","0.0","1.8","0.1","2.5","0.1","1.5","0.1"
"2019/11","0.7","0.0","0.5","0.0","0.9","-0.1","0.3","0.0","0.3","0.0","0.2","0.0","1.9","0.1","2.6","0.1","1.6","0.1"
"2019/12","0.5","-0.2","0.4","-0.1","0.7","-0.2","0.3","0.0","0.3","0.0","0.2","0.0","1.4","-0.5","2.1","-0.5","1.1","-0.5"
"2020/01","0.6","0.1","0.5","0.1","0.8","0.1","0.3","0.0","0.3","0.0","0.2","0.0","1.5","0.1","2.2","0.1","1.2","0.1"
"2020/02","0.6","0.0","0.5","0.0","0.8","0.0","0.3","0.0","0.3","0.0","0.2","0.0","1.8","0.3","2.5","0.3","1.5","0.3"
"2020/03","0.6","0.0","0.5","0.0","0.7","-0.1","0.3","0.0","0.3","0.0","0.2","0.0","1.6","-0.2","2.3","-0.2","1.3","-0.2"
"2020/04","0.6","0.0","0.5","0.0","0.7","0.0","0.3","0.0","0.3","0.0","0.2","0.0","1.7","0.1","2.5","0.2","1.4","0.1"
"2020/05","0.6","0.0","0.5","0.0","0.7","0.0","0.3","0.0","0.3","0.0","0.3","0.1","1.8","0.1","2.6","0.1","1.4","0.0"
"2020/06","0.5","-0.1","0.4","-0.1","0.6","-0.1","0.3","0.0","0.3","0.0","0.2","-0.1","1.6","-0.2","2.2","-0.4","1.3","-0.1"
"2020/07","0.5","0.0","0.4","0.0","0.6","0.0","0.3","0.0","0.3","0.0","0.2","0.0","1.6","0.0","2.4","0.2","1.3","0.0"
"2020/08","0.5","0.0","0.4","0.0","0.6","0.0","0.3","0.0","0.3","0.0","0.2","0.0","1.7","0.1","2.5","0.1","1.4","0.1"
"2020/09","0.4","-0.1","0.4","0.0","0.5","-0.1","0.2","-0.1","0.3","0.0","0.2","0.0","1.4","-0.3","2.2","-0.3","1.1","-0.3"
"2020/10","0.5","0.1","0.4","0.0","0.6","0.1","0.3","0.1","0.3","0.0","0.2","0.0","1.5","0.1","2.3","0.1","1.2","0.1"
"2020/11","0.5","0.0","0.4","0.0","0.5","-0.1","0.3","0.0","0.3","0.0","0.2","0.0","1.5","0.0","2.4","0.1","1.2","0.0"
"2020/12","0.4","-0.1","0.3","-0.1","0.5","0.0","0.2","-0.1","0.2","-0.1","0.2","0.0","1.3","-0.2","2.1","-0.3","1.1","-0.1"
"2021/01","0.4","0.0","0.4","0.1","0.6","0.1","0.2","0.0","0.2","0.0","0.2","0.0","1.5","0.2","2.3","0.2","1.2","0.1"
"2021/02","0.5","0.1","0.4","0.0","0.6","0.0","0.2","0.0","0.2","0.0","0.2","0.0","1.5","0.0","2.3","0.0","1.2","0.0"
"2021/03","0.4","-0.1","0.3","-0.1","0.6","0.0","0.2","0.0","0.2","0.0","0.2","0.0","1.3","-0.2","2.0","-0.3","1.0","-0.2"
"2021/04","0.4","0.0","0.4","0.1","0.6","0.0","0.2","0.0","0.2","0.0","0.2","0.0","1.3","0.0","2.1","0.1","1.1","0.1"
"2021/05","0.5","0.1","0.4","0.0","0.6","0.0","0.2","0.0","0.2","0.0","0.2","0.0","1.4","0.1","2.1","0.0","1.1","0.0"
"2021/06","0.4","-0.1","0.3","-0.1","0.4","-0.2","0.2","0.0","0.2","0.0","0.1","-0.1","1.1","-0.3","1.9","-0.2","0.9","-0.2"
"2021/07","0.4","0.0","0.3","0.0","0.5","0.1","0.2","0.0","0.2","0.0","0.2","0.1","1.2","0.1","2.0","0.1","1.0","0.1"
"2021/08","0.4","0.0","0.3","0.0","0.5","0.0","0.2","0.0","0.2","0.0","0.2","0.0","1.3","0.1","2.1","0.1","1.1","0.1"
"2021/09","0.3","-0.1","0.3","0.0","0.4","-0.1","0.2","0.0","0.2","0.0","0.1","-0.1","1.1","-0.2","1.9","-0.2","0.9","-0.2"
"2021/10","0.3","0.0","0.3","0.0","0.4","0.0","0.2","0.0","0.2","0.0","0.1","0.0","1.3","0.2","2.0","0.1","1.0","0.1"
"2021/11","0.4","0.1","0.3","0.0","0.4","0.0","0.2","0.0","0.2","0.0","0.2","0.1","1.3","0.0","2.0","0.0","1.0","0.0"
"2021/12","0.3","-0.1","0.2","-0.1","0.4","0.0","0.2","0.0","0.2","0.0","0.1","-0.1","1.1","-0.2","1.8","-0.2","0.8","-0.2"
"2022/01","0.3","0.0","0.2","0.0","0.4","0.0","0.2","0.0","0.2","0.0","0.1","0.0","1.2","0.1","1.9","0.1","1.0","0.2"
"2022/02","0.3","0.0","0.3","0.1","0.4","0.0","0.2","0.0","0.2","0.0","0.2","0.1","1.3","0.1","2.1","0.2","1.1","0.1"
"2022/03","0.3","0.0","0.2","-0.1","0.4","0.0","0.2","0.0","0.2","0.0","0.1","-0.1","1.2","-0.1","1.9","-0.2","0.9","-0.2"
"2022/04","0.3","0.0","0.3","0.1","0.4","0.0","0.2","0.0","0.2","0.0","0.1","0.0","1.2","0.0","2.0","0.1","1.0","0.1"
"2022/05","0.3","0.0","0.3","0.0","0.4","0.0","0.2","0.0","0.2","0.0","0.2","0.1","1.2","0.0","2.0","0.0","1.0","0.0"
"2022/06","0.3","0.0","0.2","-0.1","0.3","-0.1","0.2","0.0","0.2","0.0","0.1","-0.1","1.1","-0.1","1.9","-0.1","0.8","-0.2"
"2022/07","0.3","0.0","0.2","0.0","0.3","0.0","0.2","0.0","0.2","0.0","0.1","0.0","1.2","0.1","1.9","0.0","0.9","0.1"
"2022/08","0.3","0.0","0.3","0.1","0.4","0.1","0.2","0.0","0.2","0.0","0.2","0.1","1.2","0.0","2.0","0.1","1.0","0.1"
"2022/09","0.3","0.0","0.2","-0.1","0.3","-0.1","0.2","0.0","0.2","0.0","0.2","0.0","1.1","-0.1","1.8","-0.2","0.9","-0.1"
"2022/10","0.3","0.0","0.3","0.1","0.3","0.0","0.2","0.0","0.3","0.1","0.2","0.0","1.2","0.1","2.0","0.2","1.0","0.1"
"2022/11","0.3","0.0","0.3","0.0","0.4","0.1","0.3","0.1","0.3","0.0","0.2","0.0","1.3","0.1","2.1","0.1","1.1","0.1"
"2022/12","0.3","0.0","0.3","0.0","0.4","0.0","0.3","0.0","0.3","0.0","0.2","0.0","1.3","0.0","2.0","-0.1","1.0","-0.1"
"2023/01","0.4","0.1","0.4","0.1","0.5","0.1","0.3","0.0","0.3","0.0","0.2","0.0","1.4","0.1","2.2","0.2","1.2","0.2"
"2023/02","0.4","0.0","0.4","0.0","0.5","0.0","0.3","0.0","0.4","0.1","0.3","0.1","1.7","0.3","2.5","0.3","1.5","0.3"
"2023/03","0.4","0.0","0.4","0.0","0.5","0.0","0.3","0.0","0.4","0.0","0.3","0.0","1.5","-0.2","2.3","-0.2","1.3","-0.2"
"2023/04","0.5","0.1","0.4","0.0","0.6","0.1","0.4","0.1","0.4","0.0","0.3","0.0","1.7","0.2","2.5","0.2","1.5","0.2"
"2023/05","0.5","0.0","0.5","0.1","0.6","0.0","0.4","0.0","0.4","0.0","0.3","0.0","1.7","0.0","2.7","0.2","1.5","0.0"
"2023/06","0.4","-0.1","0.4","-0.1","0.5","-0.1","0.3","-0.1","0.4","0.0","0.3","0.0","1.5","-0.2","2.5","-0.2","1.2","-0.3"
"2023/07","0.5","0.1","0.4","0.0","0.6","0.1","0.4","0.1","0.4","0.0","0.3","0.0","1.6","0.1","2.7","0.2","1.4","0.2"
"2023/08","0.6","0.1","0.5","0.1","0.7","0.1","0.4","0.0","0.4","0.0","0.3","0.0","1.8","0.2","2.9","0.2","1.5","0.1"
"2023/09","0.5","-0.1","0.4","-0.1","0.6","-0.1","0.4","0.0","0.4","0.0","0.3","0.0","1.6","-0.2","2.6","-0.3","1.3","-0.2"
"2023/10","0.6","0.1","0.5","0.1","0.7","0.1","0.4","0.0","0.4","0.0","0.3","0.0","1.7","0.1","2.8","0.2","1.4","0.1"
"2023/11","0.6","0.0","0.5","0.0","0.7","0.0","0.4","0.0","0.4","0.0","0.3","0.0","1.8","0.1","3.0","0.2","1.4","0.0"
"2023/12","0.6","0.0","0.4","-0.1","0.7","0.0","0.4","0.0","0.4","0.0","0.3","0.0","1.6","-0.2","2.8","-0.2","1.3","-0.1"
"2024/01","0.6","0.0","0.5","0.1","0.8","0.1","0.4","0.0","0.4","0.0","0.4","0.1","1.7","0.1","3.0","0.2","1.4","0.1"
"2024/02","0.7","0.1","0.6","0.1","0.8","0.0","0.4","0.0","0.4","0.0","0.4","0.0","2.0","0.3","3.4","0.4","1.6","0.2"
"2024/03","0.6","-0.1","0.5","-0.1","0.7","-0.1","0.4","0.0","0.4","0.0","0.4","0.0","1.8","-0.2","3.1","-0.3","1.5","-0.1"
"2024/04","0.6","0.0","0.5","0.0","0.8","0.1","0.4","0.0","0.4","0.0","0.4","0.0","1.8","0.0","3.2","0.1","1.5","0.0"
"2024/05","0.7","0.1","0.6","0.1","0.8","0.0","0.4","0.0","0.4","0.0","0.4","0.0","1.9","0.1","3.4","0.2","1.6","0.1"
"2024/06","0.5","-0.2","0.5","-0.1","0.7","-0.1","0.4","0.0","0.4","0.0","0.4","0.0","1.7","-0.2","3.1","-0.3","1.4","-0.2"
"2024/07","0.7","0.2","0.6","0.1","0.8","0.1","0.4","0.0","0.4","0.0","0.4","0.0","1.8","0.1","3.2","0.1","1.4","0.0"
"2024/08","0.7","0.0","0.6","0.0","0.9","0.1","0.4","0.0","0.4","0.0","0.4","0.0","1.9","0.1","3.4","0.2","1.5","0.1"
